provider_id,provider_name,provider_type,specialty,npi_number,address,city,state,zip_code,phone,is_active
PRV00075,Lucas-Bowers Medical,Clinic,Family Medicine,3761379180,2696 Payne Extensions Suite 109,North Joseton,AR,52664,348.566.6188x92414,True
PRV00076,Herrera Group Medical,Urgent Care,Emergency Medicine,9146303161,904 David Station Apt. 027,Alexandraview,GA,49242,(641)305-6481,False
PRV00077,Gibson-Ward Medical,Clinic,Internal Medicine,7925241913,03075 Mora Fall,New Lindachester,IN,42680,265.441.9518,False
PRV00078,Brock Inc Medical,Clinic,Dermatology,6174451870,49493 Richardson Park Apt. 832,South Andrewside,MI,83855,001-205-406-4138x367,False
PRV00079,"Ramirez, Williams and Hall Medical",Hospital,Cardiology,8657191826,906 Joel Green,Sarafurt,UT,96885,957-743-1329x12127,True
PRV00080,Martinez-Howard Medical,Hospital,Urology,3747411249,52135 Palmer Springs,Jorgeburgh,AK,53505,488.531.7121x003,True
PRV00081,Watson-Mccoy Medical,Clinic,Oncology,1994101372,1070 Sandra Meadows,Crawfordfurt,TX,56424,(553)624-4720,False
PRV00082,Jenkins-Pierce Medical,Urgent Care,Family Medicine,0146263838,5787 Durham Parkway,Paulburgh,AK,42296,+1-530-540-7859x321,False
PRV00083,Ferguson-Moody Medical,Hospital,Emergency Medicine,0396522395,059 Anna Field Suite 842,Johnsonton,IN,79362,708.470.5932,False
PRV00084,Brown-Hernandez Medical,Hospital,Oncology,2185156915,2267 Thompson Points Suite 392,Parkerport,DC,23793,001-909-469-0295x9391,True
PRV00085,Mcgee-Young Medical,Urgent Care,Internal Medicine,5215704331,1006 Oconnor Expressway Suite 765,Garciafort,WY,76267,+1-432-871-0405x4115,False
PRV00086,Dennis PLC Medical,Urgent Care,Emergency Medicine,1599706296,15336 Guerrero Hills,North Brandon,OK,72546,520.450.6149x7310,True
PRV00087,"Carter, Miller and Anthony Medical",Private Practice,Family Medicine,4677418625,2704 Marshall Fork Suite 902,North Elizabethside,MT,99651,001-538-906-8687,True
PRV00088,Miller-Orr Medical,Hospital,Surgery,0898992172,32061 Harris View,Port Brooke,MD,95803,916-286-8548,True
PRV00089,"Dean, Mills and Barnes Medical",Hospital,Cardiology,6229991191,564 Pena Ports Suite 024,Thomasfurt,AZ,52378,430-674-5054x44713,False
PRV00090,"Ramos, Petersen and Adams Medical",Clinic,Cardiology,6913736785,214 Taylor Vista,East Jamesborough,MP,08054,807.305.3457,True
PRV00091,"Johnson, Watson and Wheeler Medical",Clinic,Dermatology,2798552414,0293 Deborah Springs,West Denise,NY,03129,001-707-922-9034x94466,True
PRV00092,Robinson-Turner Medical,Clinic,Oncology,8969108589,1715 Davidson Wall Suite 443,New Kathy,MH,07942,+1-565-720-7446x660,True
PRV00093,"Reeves, Parks and Little Medical",Clinic,Psychiatry,7584282417,482 Pena Forges,Jeffreyport,MT,43927,(949)547-1709x991,True
PRV00094,"Wilson, Becker and Moreno Medical",Hospital,Oncology,6022356972,217 Welch Fall Suite 007,Jasonburgh,OK,21267,512.796.6667x6008,True
PRV00095,Mcclain PLC Medical,Private Practice,Family Medicine,3003354216,10447 Hamilton Spur Apt. 575,East Stacy,PW,53374,3337230982,True
PRV00096,"Santos, Johnson and Mcdowell Medical",Clinic,Internal Medicine,4890901001,6184 Miles Ford Apt. 461,Cindyberg,MT,14252,891.641.1739x34835,False
PRV00097,Williams Group Medical,Clinic,Radiology,3753001197,81143 Hinton Hill,Stevenville,GU,23399,4454561100,True
PRV00098,Howard-Kim Medical,Urgent Care,Neurology,9415521667,7621 Heather Circle Apt. 169,Phammouth,HI,80628,(759)202-7716x7014,True
PRV00099,"Oneill, Warren and Manning Medical",Hospital,Orthopedics,9358891637,628 Alexander Estate Suite 721,Floresmouth,KY,07100,738.366.3177x97177,True
PRV00100,Mcgee-Smith Medical,Hospital,Pediatrics,6608801994,755 Lisa Vista,Riverafort,VT,86637,(371)213-0554x885,True
